id	name	origin	type	first_name	prefix	surname	birth_earliest	birth_latest	birth_place	death_earliest	death_latest	death_place	occupation	religion	image	wikidata
"bf42245c-bfa5-4c1c-baa3-f3b9a22c8798"	"Adrianus Barlandus"	"1"	"Person"	"Adrianus"		"Barlandus"	"1486-09-28"	"1486-09-28"	"20"	"1538-11-30"	"1538-11-30"	"11"	"historian; philosopher; philologist; university teacher"			"http://www.wikidata.org/entity/Q2067100"
"e596d6b3-cb64-47e3-abba-b1630fb830ef"	"Andreas Hoius"	"2"	"Person"	"Andreas"		"Hoius"	"1551-01-01"	"1551-12-31"	"32"	"1631-01-01"	"1631-12-31"					
"36607d71-1fa2-41af-b3ca-63887020b879"	"Aquila Cruso"	"3"	"Person"	"Aquila"		"Cruso"	"1595-01-01"	"1595-12-31"		"1660-01-01"	"1660-12-31"					
"e579ae48-403a-4047-a71b-c24132a93c96"	"Augustinians"	"4"	"Organization"													
"25139354-cd96-4e76-9da8-f935e934812b"	"Augustinians of Antwerpen"	"5"	"Organization"													"http://www.wikidata.org/entity/Q48526662"
"4b1b1ab3-6f5b-49be-b664-d3e88e275b04"	"Augustinians of Gent"	"6"	"Organization"													
"a64c520b-eff6-4ec2-8854-8d66e05e7eee"	"Augustus Alstenius Bloemertius"	"7"	"Person"	"Augustus Alstenius"		"Bloemertius"	"1585-01-01"	"1585-12-31"	"64"	"1659-11-04"	"1659-11-04"	"64"				
"cc1e1f45-94b5-42e4-86c0-13690c0f80d6"	"Aulus Gerardus Dalanthus"	"8"	"Person"	"Aulus Gerardus"		"Dalanthus"				"1577-01-01"	"1577-12-31"					
"a862c2b2-b4df-4d1b-9ac6-311f4ef035c9"	"Bernardinis Stephonius Sabinus"	"9"	"Person"	"Bernardinis Stephonius"		"Sabinus"										
"d1a52871-00e5-4f85-98b2-489f5da9ab49"	"Carolus Malapertius"	"10"	"Person"	"Carolus"		"Malapertius"	"1581-07-12"	"1581-07-12"	"46"	"1630-11-05"	"1630-11-05"	"30"	"astronomer; poet; mathematician"	"Catholicism"		"http://www.wikidata.org/entity/Q744091"
"a8f4267a-4228-4edf-acc7-f723f42083a0"	"Cornelius Schonaeus"	"11"	"Person"	"Cornelius"		"Schonaeus"	"1540-01-01"	"1541-12-31"	"49"	"1611-11-23"	"1611-11-23"	"64"	"playwright; writer"		"https://commons.wikimedia.org/wiki/File:Cornelius_Schon%C3%A4us.jpg"	"http://www.wikidata.org/entity/Q2707820"
"ed27b328-73d7-48fe-a68f-9b4d7cc4464c"	"Cornelius Crocus"	"12"	"Person"	"Cornelius"		"Crocus"	"1495-01-01"	"1505-12-31"	"77"	"1550-10-01"	"1550-10-01"	"48"	"playwright"			"http://www.wikidata.org/entity/Q55194213"
"7f0e2187-c125-4c55-9cab-2df8a7a16788"	"Cornelius Laurimanus"	"13"	"Person"	"Cornelius"		"Laurimanus"	"1515-01-01"	"1525-12-31"		"1573-01-01"	"1573-12-31"		"playwright"			"http://www.wikidata.org/entity/Q2341707"
"41a0fb6d-50c3-4e74-b319-fad5eeaf67bb"	"Daniel Heinsius"	"14"	"Person"	"Daniel"		"Heinsius"	"1580-06-09"	"1580-06-09"	"27"	"1655-02-25"	"1655-02-25"	"66"	"poet; librarian; writer; university teacher; classical scholar; philologist; playwright; translator; publisher"		"https://commons.wikimedia.org/wiki/File:Daniel_Heinsius_-_Imagines_philologorum.jpg"	"http://www.wikidata.org/entity/Q918731"
"da59827b-a998-4bd9-9831-ac47df06c9aa"	"Eligius Eucharius"	"15"	"Person"	"Eligius"		"Eucharius"	"1483-01-01"	"1493-12-31"		"1544-01-01"	"1544-12-31"					
"d40701fa-bc76-4a3e-82d1-af230fb191aa"	"Emmanuel Rodriguez"	"16"	"Person"	"Emmanuel"		"Rodriguez"										
"f0edb012-4002-48c6-a8ad-9a69e1618400"	"Emmanuel Lobb"	"17"	"Person"	"Emmanuel"		"Lobb"	"1594-01-01"	"1594-12-31"	"61"	"1671-07-24"	"1671-07-24"	"55"	"playwright"	"Catholicism"		"http://www.wikidata.org/entity/Q3810270"
"70c1f6ce-f7a8-464c-9943-24450190a234"	"Eusebius Candidus"	"18"	"Person"	"Eusebius"		"Candidus"										
"12a28655-3f1d-4abd-87a5-fe91df35b2fb"	"Fabricius Ruremundanus"	"19"	"Person"	"Fabricius"		"Ruremundanus"	"1495-01-01"	"1495-12-31"		"1560-01-01"	"1560-12-31"					
"1bca3168-8aa0-43bf-a249-5ba7bb5d1583"	"Franciscus Eutrachelus"	"20"	"Person"	"Franciscus"		"Eutrachelus"	"1539-01-01"	"1539-12-31"		"1616-01-01"	"1616-12-31"					
"97350925-7305-460b-8505-ae3a5babc320"	"Franciscus van den Enden"	"21"	"Person"	"Franciscus"	"van den"	"Enden"	"1602-02-09"	"1602-02-09"	"56"	"1674-11-24"	"1674-11-24"	"65"	"physician; poet; philosopher, writer; politician"			"http://www.wikidata.org/entity/Q596911"
"c56cb72d-1be7-4616-b4a3-f62af2ee29aa"	"Franciscus Noël"	"22"	"Person"	"Franciscus"		"Noël"	"1651-08-18"	"1651-08-18"	"40"	"1729-09-17"	"1729-09-17"	"37"	"father; writer; translator; theologian; cartographer"	"Catholicism"		"http://www.wikidata.org/entity/Q1451148"
"49666e0b-8ee7-4161-981c-15023a346828"	"Fredericus Piroüel"	"23"	"Person"	"Fredericus"		"Piroüel"				"1650-01-01"	"1650-12-31"					
"fc3525bb-d64c-490e-96c3-7ef467de0e43"	"Casparus Casparius"	"24"	"Person"	"Casparus"		"Casparius"	"1569-01-01"	"1569-12-31"		"1642-01-01"	"1652-12-31"		"mathematician"			"http://www.wikidata.org/entity/Q18945332"
"76539ca9-679b-492c-afc8-9080c788f1fe"	"Gregorius Holonius"	"25"	"Person"	"Gregorius"		"Holonius"	"1531-01-01"	"1531-12-31"		"1594-01-01"	"1594-12-31"					
"6d0a98de-ebf7-45d7-92ff-2d83000513fd"	"Guilielmus Druraeus"	"26"	"Person"	"Guilielmus"		"Druraeus"										
"b1a1a056-c320-4981-a533-00dda64e2281"	"Gulielmus Gazaeus"	"27"	"Person"	"Gulielmus"		"Gazaeus"				"1562-01-01"	"1562-12-31"					"http://www.wikidata.org/entity/Q59529698"
"ca32c55a-01a9-45c8-a2cf-8e0fbd4197b1"	"Guilliam Caudron Jr."	"28"	"Person"	"Guilliam"		"Caudron Jr."	"1607-01-01"	"1607-12-31"	"75"	"1692-01-01"	"1692-12-31"					
"6f7f96ba-7a81-4093-9b9f-451f33e0d640"	"Guilielmus Jennyn"	"29"	"Person"	"Guilielmus"		"Jennyn"	"1636-01-01"	"1636-12-31"		"1673-12-12"	"1673-12-12"					
"706dda0a-0c59-4192-835e-1f87dcb07866"	"Haarlemse rederijker"	"30"	"Person"													
"4b8601a9-d25b-4dfe-9bdb-5e9b81a7d185"	"Henricus Canisius"	"31"	"Person"	"Henricus"		"Canisius"	"1562-01-01"	"1562-12-31"	"74"	"1610-09-02"	"1610-09-02"	"35"	"jurist; university teacher"	"Catholicism"		"http://www.wikidata.org/entity/Q4212454"
"045ab6b3-8d3f-4735-844c-b79685b14e31"	"Hugo Grotius"	"32"	"Person"	"Hugo"		"Grotius"	"1583-04-10"	"1583-04-10"	"59"	"1645-08-28"	"1645-08-28"	"9"	"poet; laywright; jurist; politician; writer; diplomat; historian; philosopher; theologian; laywer; university teacher; ambassador"	"Arminianism"	"https://commons.wikimedia.org/wiki/File:Michiel_Jansz_van_Mierevelt_-_Hugo_Grotius.jpg"	"http://www.wikidata.org/entity/Q154959"
"f54fe889-1acf-4ac4-a72e-d2aed8c7af8d"	"Jacob Zevecotius"	"33"	"Person"	"Jacob"		"Zevecotius"	"1596-01-16"	"1596-01-16"	"27"	"1642-03-17"	"1642-03-17"	"12"				
"49c3943d-e59b-49ba-a2ef-30cab20c4c17"	"Jacobus Cornelius Lummenaeus a Marca"	"34"	"Person"	"Jacobus Cornelius"		"Lummenaeus a Marca"	"1575-01-01"	"1585-12-31"		"1623-01-01"	"1633-12-31"					
"c13848a8-72b2-45e6-8394-577dd1b8b338"	"Jacobus de Keghel"	"35"	"Person"	"Jacobus"	"de"	"Keghel"										
"58eae563-793b-4353-b357-3277ce01ccf1"	"Jacobus Libenius"	"36"	"Person"	"Jacobus"		"Libenius"	"1603-01-01"	"1603-12-31"	"56"	"1678-01-01"	"1678-12-31"					
"4d23d8cf-82ba-4c4e-842a-70dd363c32c6"	"Jacobus Zovitius"	"37"	"Person"	"Jacobus"		"Zovitius"	"1512-01-01"	"1512-12-31"	"17"				"writer"			"http://www.wikidata.org/entity/Q15876822"
"61896250-a42a-48c9-85a5-dc5e56a856c5"	"Jean-Baptiste Gramaye"	"38"	"Person"	"Jean-Baptiste"		"Gramaye"	"1580-01-01"	"1580-12-31"	"56"	"1635-01-01"	"1635-12-31"	"24"	"historian; university teacher; diplomat; canon; archdeacon"	"Catholicism"		"http://www.wikidata.org/entity/Q1922212"
"e934c964-656c-44b7-a275-c68c89579d19"	"Jesuits"	"39"	"Organization"													"http://www.wikidata.org/entity/Q36380"
"65061356-ff8e-4a18-a032-c8af57d7e566"	"Jesuits of Aalst"	"40"	"Organization"													
"b209e8b8-a394-4641-85a8-000f7cba257b"	"Jesuits of Antwerpen"	"41"	"Organization"													"http://www.wikidata.org/entity/Q48177345"
"a5876d51-0526-40fc-bfca-be81eff48209"	"Jesuits of Bailleul"	"42"	"Organization"													
"5f17d317-2a86-4a97-a029-25201084086f"	"Jesuits of Brugge"	"43"	"Organization"													
"1c83a0ac-f202-4ca4-b5e6-5f9268ac8b01"	"Jesuits of Brussel"	"45"	"Organization"													
"dd0f7167-cfcc-45bc-a490-168c870e7cc8"	"Jesuits of Cassel"	"46"	"Organization"													
"82dc3073-5846-4447-942c-11e5df43d084"	"Jesuits of Gent"	"47"	"Organization"													"http://www.wikidata.org/entity/Q47112139"
"8fe9e68b-d300-4f5c-90c8-8d6e59268381"	"Jesuits of Halle"	"48"	"Organization"													"http://www.wikidata.org/entity/Q49986360"
"837ee207-6d47-47b2-b9e4-0201463b9641"	"Jesuits of Hasselt"	"49"	"Organization"													
"0ca228a8-e69a-48a2-b4c0-302594597bfc"	"Jesuits of Ieper"	"50"	"Organization"													
"ca5fd90f-e287-4427-bca6-da43931f0e58"	"Jesuits of Kortrijk"	"51"	"Organization"													
"b1268bb8-cb05-4586-aafe-5ee3dfb2aed9"	"Jesuits of Maastricht"	"52"	"Organization"													
"80a194e9-b864-46eb-8347-88908ec82184"	"Jesuits of Mechelen"	"53"	"Organization"													"http://www.wikidata.org/entity/Q48185364"
"b3d65013-e8f0-4989-b4bf-a5a4515e1cb2"	"Jesuits of Roermond"	"54"	"Organization"													
"959b8280-f576-4291-a63d-41626c882515"	"Jesuits of Bergues"	"55"	"Organization"													
"5c4e20a4-d515-41a6-8d7c-b8852d6aedd5"	"Joannes Chrysostomus Loots"	"56"	"Person"	"Joannes Chrysostomus"		"Loots"	"1598-01-01"	"1598-12-31"		"1656-01-01"	"1656-12-31"					
"dd60f977-bb8b-4e84-ab54-1f271b4b585d"	"Joannes David"	"57"	"Person"	"Joannes"		"David"	"1545-01-01"	"1546-12-31"	"78"	"1613-08-09"	"1613-08-09"	"56"				
"504eae16-5759-4c87-88d9-085632764489"	"Joannes-Baptista Holvoet"	"58"	"Person"	"Joannes-Baptista"		"Holvoet"	"1691-01-01"	"1691-12-31"		"1766-01-01"	"1766-12-31"					
"ed24dd49-c188-4eb3-ab6e-60e82029cf0c"	"Johannes Groethuyse"	"59"	"Person"	"Johannes"		"Groethuyse"										
"cf575bac-a2b6-4adb-846e-e93df5afee97"	"Johannes Placentius"	"60"	"Person"	"Johannes"		"Placentius"	"1485-01-01"	"1500-12-31"	"2"	"1538-01-01"	"1549-12-31"	"11"	"religious; poet"	"Catholicism"		"http://www.wikidata.org/entity/Q1243416"
"e0253b47-ac3e-430c-b004-e11d08af5161"	"Joannes Surius"	"61"	"Person"	"Joannes"		"Surius"	"1554-01-01"	"1554-12-31"		"1626-01-01"	"1631-12-31"					
