manifestation_id	ceneton_id
"bcb42947-4b7c-4966-a9ae-3ded62aec4bf"	"Ceneton058380"
"b5c489ab-3e36-4db0-bada-04d7df6b40bb"	"Ceneton101540"
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Ceneton082891"
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Ceneton082910"
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Ceneton083050"
"f4c94f5b-566f-43c0-a66a-140d982fba4b"	"Ceneton083175"
"29efc3f9-bbce-4374-bd0c-50a9b600a3ba"	"Ceneton083230"
"053931e8-4619-4c83-8b10-364e5ee8fb66"	"Ceneton083360"
"a40d2292-fa28-4332-87c5-f035178124ab"	"Ceneton083500"
"3e9d158a-fe7c-4611-8939-74823bbd09b0"	"Ceneton032400"
"ddb32ce3-1209-4d1f-aa17-a32a3fc6c8ea"	"Ceneton043760"
"65034498-c8a2-4757-bf5a-5d046255d758"	"Ceneton045190"
"7638cb0c-149b-472e-936d-307d29a34839"	"Ceneton062190"
"e10d9caa-a668-402c-8009-4f1437fd4320"	"Ceneton077190"
"bf578f71-17b7-4007-99b8-bfb02fcf5cd6"	"Ceneton077180"
"2f0b89ef-a0da-4b1c-b60a-49dbbff18e75"	"Ceneton003770"
"8b93c30f-2cae-44c6-9ae5-b720d4f3f4d5"	"Ceneton004150"
"780bb6df-e2c8-4a4a-b9f1-1d32930eee44"	"Ceneton004390"
"ecd4bc57-219c-4332-bb48-8cc682c053db"	"Ceneton004470"
"230526fc-bf2a-47f0-9273-e47c85ddccda"	"Ceneton069720"
"a08a2ad5-d38c-4e8f-81f4-b7bb261aca30"	"Ceneton045360"
"a08a2ad5-d38c-4e8f-81f4-b7bb261aca30"	"Ceneton043050"
"dbc85cf3-743f-417c-b3d8-040217ea8d61"	"Ceneton045550"
"dbc85cf3-743f-417c-b3d8-040217ea8d61"	"Ceneton045540"
"ee93a8d9-2bef-4baa-8a03-07a859fc312b"	"Ceneton045571"
"f374d548-228d-4ea7-b8e4-4ae164e210b8"	"Ceneton045570"
"17352fb6-17f2-4320-a733-7fe260417c4b"	"Ceneton048140"
"588576e4-c248-4442-8e8d-3e53e127e91a"	"Ceneton048150"
"4e7c4351-1ae7-4b2d-86ad-02dde19d3297"	"Ceneton021260"
"946973b8-9e77-45d8-acce-a5c08d92476f"	"Ceneton035340"
"5f87d1b7-76c4-4e37-ba09-24459e84cf0c"	"Ceneton032440"
