manifestation_id	name
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Iacobus senex."
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Iosephus, & Isachar, & Danus, & Ruben, & Iudas, & Simeon, & Beniamin } filii Iacobi."
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Azer, & Zabulon, & Levi, & Gadus, & Nephthalim, } mutae personae, filii quoque Iacobi."
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Mercatores. duo."
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Potiphar."
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Sephira, Potipharis uxor."
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Syrus servus."
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Blepharo, praefectus carceris."
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Lyconides pocillator."
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Dromo servus."
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Leonides dispensator."
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Holofernes, imperator Assyriorum."
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Moabus & Ammonides } duces militum."
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Achior, Ammonita."
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Thraso, & Labrax, } milites Assyrij."
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Bagoas, cubicularius Holofernis."
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Ozias, Consul Bettiliensis."
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Ioachimus, summus sacerdos."
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Sadocus, & Melchias, & Azarias, } cives Betulienses."
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Iuditha, vidua."
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Abra, Iudithae ancilla."
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Naaman, Princeps Syrus."
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Artemona, Naamanis uxor."
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Phronesium, puella Iudaica Artemonae ancilla."
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Dorio, servus."
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Sosia, servus."
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Strato, & Leonidas, & Storax, } Naamanis ministri nobiles."
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Bromia, ancilla."
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Syrus, servus."
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Melchias, Iudaeus."
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Elisaeus, vates."
"f4c94f5b-566f-43c0-a66a-140d982fba4b"	"Nehemias, pocillator regius."
"f4c94f5b-566f-43c0-a66a-140d982fba4b"	"Satibarzanes, aulicus."
"f4c94f5b-566f-43c0-a66a-140d982fba4b"	"Hananus, & Sadocus, & Azarias, & Eliasibus, } Iudaei."
"f4c94f5b-566f-43c0-a66a-140d982fba4b"	"Birria, servus."
"f4c94f5b-566f-43c0-a66a-140d982fba4b"	"Lesbia, ancilla."
"f4c94f5b-566f-43c0-a66a-140d982fba4b"	"Gosemus, & Sanaballatus, & Tobias, } Iudaeorum Hostes."
"f4c94f5b-566f-43c0-a66a-140d982fba4b"	"Simalio, & Sanga, } Milites."
"29efc3f9-bbce-4374-bd0c-50a9b600a3ba"	"Phormio, vietor."
"29efc3f9-bbce-4374-bd0c-50a9b600a3ba"	"Dorio, ahenarius faber."
"29efc3f9-bbce-4374-bd0c-50a9b600a3ba"	"Perilla, Phormionis uxor."
"29efc3f9-bbce-4374-bd0c-50a9b600a3ba"	"Bromia, Dorionis uxor."
"29efc3f9-bbce-4374-bd0c-50a9b600a3ba"	"Lesbia, caupona."
"29efc3f9-bbce-4374-bd0c-50a9b600a3ba"	"Syra, Lesbiae ancilla."
"29efc3f9-bbce-4374-bd0c-50a9b600a3ba"	"Chremes, rusticus."
"29efc3f9-bbce-4374-bd0c-50a9b600a3ba"	"Nisa, Chremetis uxor."
"053931e8-4619-4c83-8b10-364e5ee8fb66"	"Saulus."
"053931e8-4619-4c83-8b10-364e5ee8fb66"	"Sosia, Sauli servus."
"053931e8-4619-4c83-8b10-364e5ee8fb66"	"Tranio & Lyco } Sauli satellites."
