manifestation_id	title	language	certainty
"bcb42947-4b7c-4966-a9ae-3ded62aec4bf"	"Esthera Regina"	"Latin"	"Certain"
"b5c489ab-3e36-4db0-bada-04d7df6b40bb"	"Didascalus"	"Latin"	"Certain"
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"Iosephus"	"Latin"	"Certain"
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"Iuditha"	"Latin"	"Certain"
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"Naaman"	"Latin"	"Certain"
"f4c94f5b-566f-43c0-a66a-140d982fba4b"	"Nehemias"	"Latin"	"Certain"
"29efc3f9-bbce-4374-bd0c-50a9b600a3ba"	"Pseudostratiotae"	"Latin"	"Certain"
"053931e8-4619-4c83-8b10-364e5ee8fb66"	"Saulus"	"Latin"	"Certain"
"a40d2292-fa28-4332-87c5-f035178124ab"	"Tobaeus"	"Latin"	"Certain"
"3e9d158a-fe7c-4611-8939-74823bbd09b0"	"Adamus exul"	"Latin"	"Certain"
"ddb32ce3-1209-4d1f-aa17-a32a3fc6c8ea"	"L’hypocrite demasqué"	"French"	"Certain"
"65034498-c8a2-4757-bf5a-5d046255d758"	"L’orgeuil humilié ou Aman"	"French"	"Certain"
"7638cb0c-149b-472e-936d-307d29a34839"	"Sedecias"	"Latin"	"Certain"
"e10d9caa-a668-402c-8009-4f1437fd4320"	"Sergius vel capitis caput"	"Latin"	"Certain"
"bf578f71-17b7-4007-99b8-bfb02fcf5cd6"	"Scenica Progymnasmata hoc est Ludicra praeexercitamenta"	"Latin"	"Certain"
"2f0b89ef-a0da-4b1c-b60a-49dbbff18e75"	"Eydel is het waght te stellen,, En te breken liefdens bandt:"	"Dutch"	"Certain"
"8b93c30f-2cae-44c6-9ae5-b720d4f3f4d5"	"In amore stabili vana sit custodia"	"Latin"	"Certain"
"780bb6df-e2c8-4a4a-b9f1-1d32930eee44"	"Judicium temerarium sive Adolphus Teutonum comes"	"Latin"	"Certain"
"ecd4bc57-219c-4332-bb48-8cc682c053db"	"t lichtveerdig oordeel door Adolphus"	"Dutch"	"Certain"
"230526fc-bf2a-47f0-9273-e47c85ddccda"	"Joseph se fratribus manifestans"	"Latin"	"Certain"
"a08a2ad5-d38c-4e8f-81f4-b7bb261aca30"	"Prodigus ad frugem revocatus"	"Latin"	"Certain"
"a08a2ad5-d38c-4e8f-81f4-b7bb261aca30"	"De verquister tot beternis gebragt"	"Dutch"	"Certain"
"dbc85cf3-743f-417c-b3d8-040217ea8d61"	"Salomon unctus"	"Latin"	"Certain"
"dbc85cf3-743f-417c-b3d8-040217ea8d61"	"Salomon gezalfd"	"Dutch"	"Certain"
"ee93a8d9-2bef-4baa-8a03-07a859fc312b"	"Den allerkinderen-dag"	"Dutch"	"Certain"
"f374d548-228d-4ea7-b8e4-4ae164e210b8"	"Salomona met haer zeven zonen Machabeen"	"Dutch"	"Certain"
"17352fb6-17f2-4320-a733-7fe260417c4b"	"Dry-dobbel verlies van Sapricius door den haet teghen Nicephorus"	"Dutch"	"Uncertain"
"588576e4-c248-4442-8e8d-3e53e127e91a"	"Franciscus De Borgia in’t hof van den keyser kloeckmoedigh"	"Dutch"	"Uncertain"
"4e7c4351-1ae7-4b2d-86ad-02dde19d3297"	"Joseph"	"Latin"	"Certain"
"946973b8-9e77-45d8-acce-a5c08d92476f"	"Auriacus sive libertas saucia"	"Latin"	"Certain"
"5f87d1b7-76c4-4e37-ba09-24459e84cf0c"	"Christus patiens"	"Latin"	"Certain"
"aec0ed8a-47df-4ac7-90bf-cdeed8250050"	"Maria Graeca"	"Latin"	"Certain"
