id	name
"1"	"Gravelines"
"2"	"St. Truiden"
"3"	"Den Bosch"
"4"	"Tiel"
"5"	"Rotterdam"
"6"	"Douai"
"7"	"Robelmont"
"8"	"Jakarta"
"9"	"Rostock"
"10"	"Pforzheim"
"11"	"Leuven"
"12"	"Harderwijk"
"13"	"Lausanne"
"14"	"Saint-Omer"
"15"	"Naaldwijk"
"16"	"Florennes"
"17"	"Dreischor"
"18"	"Hoogstraten"
"19"	"Franeker"
"20"	"Baarland"
"21"	"Oosterend"
"22"	"Oirschot"
"23"	"Frankfurt an der Oder"
"24"	"Lübeck"
"25"	"Zulpach"
"26"	"Norden"
"27"	"Gent"
"28"	"Alkmaar"
"29"	"Tournai"
"30"	"Vitoria-Gasteiz"
"31"	"'s-Hertogenbosch"
"32"	"Brugge"
"33"	"Basel"
"34"	"Loemel"
"35"	"Ingolstadt"
"36"	"Mechelen"
"37"	"Lille"
"38"	"Quinzano d'Oglio"
"39"	"Middelburg"
"40"	"Hestrud"
"41"	"Dordrecht"
"42"	"Stuttgart"
"43"	"Agen"
"44"	"Uherský Brod"
"45"	"Braine-le-Comte"
"46"	"Mons"
"47"	"Szczecin"
"48"	"Rome"
"49"	"Gouda"
"50"	"Paris"
"51"	"Deventer"
"52"	"Montfoort"
"53"	"Köln"
"54"	"Vlissingen"
"55"	"London"
"56"	"Antwerpen"
"57"	"Leeuwarden"
"58"	"Workum"
"59"	"Delft"
"60"	"Den Haag"
"61"	"Portsmouth"
"62"	"Heusden"
"63"	"Sant'Angelo Romano"
"64"	"Haarlem"
"65"	"Parijs"
"66"	"Leiden"
"67"	"Binche"
"68"	"Naarden"
"69"	"Gemert"
"70"	"Arras"
"71"	"Westkapelle (BE)"
"72"	"Jülich"
"73"	"Utrecht"
"74"	"Nijmegen"
"75"	"Aalst"
"76"	"Siena"
"77"	"Amsterdam"
"78"	"Kortrijk"
"79"	"’s-Gravenhage"
"82"	"Dunkerque"
"84"	"Dendermonde"
"86"	"Keulen"
"87"	"Maastricht"
"91"	"Genève"
"96"	"Venlo"
"98"	"Strasbourg"
"99"	"Augsburg"
"100"	"Tübingen"
"102"	"Nürnberg"
"103"	"Toledo"
"104"	"Hoorn"
"106"	"Zwolle"
"109"	"Bergues"
"111"	"Wittenberg"
"113"	"Oudenaarde"
"114"	"Gdansk"
"115"	"Leipzig"
"117"	"München"
"118"	"’s-Hertogenbosch"
"119"	"Namur"
"121"	"Dortmund"
"122"	"Kampen"
"124"	"Roermond"
"125"	"Luik"
"127"	"Dillingen"
"128"	"Ieper"
"129"	"Brussel"
"132"	"Oostende"
"135"	"Kalisz"
"136"	"Praha"
"138"	"Frankfurt"
