publisher_id	name
"f19196c2-2316-4858-87e2-6be5155d47dd"	"A. de Backer"
"1c7522e9-935e-404f-9d15-f1c0c5434621"	"Joannes Bogardus"
"0666c83e-3cd3-4e19-b998-67c83e89eaed"	"Joannes Bogardus"
"af76b083-fbb2-41b9-93eb-797838170a2a"	"Peeter Bouvet"
"11d005c7-18a9-4680-82b7-5cfa73850c70"	"Nicolaus Brylinger"
"8a30eda0-e09d-4a3b-ba8a-711c9c59b2fd"	"N. Breygel"
"8a30eda0-e09d-4a3b-ba8a-711c9c59b2fd"	"Nicolaes Breygel"
"8a30eda0-e09d-4a3b-ba8a-711c9c59b2fd"	"Nicolaes Breyghel"
"2f02fd09-bc99-4bcb-93d5-1cdf6fc3d615"	"Jacobus du Caju"
"472de46b-61a9-4129-8330-e870fe154db2"	"Pieter vande Capelle"
"472de46b-61a9-4129-8330-e870fe154db2"	"Petri vande Cappelle"
"307d8903-3ec9-4663-8eef-b34a9670e8c6"	"Antonius Claudinot"
"307d8903-3ec9-4663-8eef-b34a9670e8c6"	"Athonii Claudinot"
"e7133739-1e1e-4aef-93d1-533cc3b17d3d"	"Wed. Pieter de Cleyn"
"1a70d56b-27b9-4c54-93ce-a0ef6a1eb8b2"	"Petrus Cleijn"
"1a70d56b-27b9-4c54-93ce-a0ef6a1eb8b2"	"Petrus de Cleyn"
"b900b2ba-4cca-45dc-b5e9-742c85fc79da"	"Ioos Dooms"
"703b7140-d776-4082-8837-7e4b22a466cd"	"Judocus Doomsius"
"12f0feea-72e0-4581-b9aa-3aeb2681eb00"	"Godfridus Dumeus"
"be2208e3-aed6-4847-9b57-2a1b159d7c72"	"Joannes Francisci vander Elst"
"be2208e3-aed6-4847-9b57-2a1b159d7c72"	"Joannis Francisci Vander Elst"
"b6179d80-3392-457b-971a-7e7e45a3f4ca"	"Joannes Eton"
"3f0fafaf-d6ec-444c-8eeb-f3b1772a8437"	"Alexandrum Everaerts"
"3f0fafaf-d6ec-444c-8eeb-f3b1772a8437"	"Alexander Josephus Everaerts"
"3f0fafaf-d6ec-444c-8eeb-f3b1772a8437"	"Alexandri Everaerts"
"3f0fafaf-d6ec-444c-8eeb-f3b1772a8437"	"Alexander-Josephus Everaerts"
"597cdf48-8c7a-4d55-ae57-83dae6be74f5"	"Peeter Geubels"
"b91ac872-a558-4a4a-a423-0ab52b40c8a8"	"Wed. Petrus (I) de Goesin"
"b91ac872-a558-4a4a-a423-0ab52b40c8a8"	"Weduwe Petrus de Goesin"
"b91ac872-a558-4a4a-a423-0ab52b40c8a8"	"Wed. Petrus de Goesin"
"2eebda80-48f1-4d99-8f33-14ba93d065e3"	"Petrus (I) de Goesin"
"2eebda80-48f1-4d99-8f33-14ba93d065e3"	"Petrus Franciscus I de Goesin"
"2eebda80-48f1-4d99-8f33-14ba93d065e3"	"Petrus de Goesin"
"2eebda80-48f1-4d99-8f33-14ba93d065e3"	"Petri de Goesin"
"7366ceb7-820f-48dc-ab20-80a2a2f35f28"	"Petrus de Goesin"
"7366ceb7-820f-48dc-ab20-80a2a2f35f28"	"Petri de Goesin"
"7366ceb7-820f-48dc-ab20-80a2a2f35f28"	"Pierre François (II) de Goesin"
"7366ceb7-820f-48dc-ab20-80a2a2f35f28"	"Petrus (II) de Goesin"
"3515432a-e781-458c-b17b-f0a2ff0440bc"	"Erfgenamen Maximiliaen Graet"
"3e003103-5160-447d-b7fb-425141068db7"	"Maximiliaen Graet"
"9a9a9610-f22c-4d5c-a845-d9772561c6d6"	"Joannis van Gulpen"
"f0e0defa-b720-4376-88b1-6cb81018126c"	"Joannes Gymnicus"
"f0e0defa-b720-4376-88b1-6cb81018126c"	"Johannes Gymnich"
"f0e0defa-b720-4376-88b1-6cb81018126c"	"Johann Gymnich"
"644267d0-3ba5-4834-9e96-bce5f6ea356a"	"Joannes Gymnicus"
"644267d0-3ba5-4834-9e96-bce5f6ea356a"	"Johannes Gymnich"
"644267d0-3ba5-4834-9e96-bce5f6ea356a"	"Johann Gymnich"
"0103ed05-f328-4cfa-8a49-3b72b513116d"	"G. Hacquebaud"
"38692558-2439-4698-9f7e-0d290b2ff02c"	"Michael Hillenius"
"38692558-2439-4698-9f7e-0d290b2ff02c"	"Michael Hillen van Hoochstraten"
"d45f180f-4b1b-4a4a-baf1-c11d9986cbc2"	"Andreae Jaye"
"d45f180f-4b1b-4a4a-baf1-c11d9986cbc2"	"Andries Jaye"
"7034fad1-ad98-4d03-be77-54befc9fa6a5"	"Henry Iaye"
"7034fad1-ad98-4d03-be77-54befc9fa6a5"	"Henricum Jaey"
"be63e675-9e1b-4dfb-a313-297b180665ad"	"Jan Frans Jaye"
"8a233073-6682-4b58-af1c-3c1bba399013"	"Jean vanden Kerchove"
"8a233073-6682-4b58-af1c-3c1bba399013"	"Joannes Kerchovius"
"8a233073-6682-4b58-af1c-3c1bba399013"	"Jan vanden Kerckhove"
"8a233073-6682-4b58-af1c-3c1bba399013"	"Joannes Kerckhove"
"8a233073-6682-4b58-af1c-3c1bba399013"	"Ian vanden Kerckove"
"43919a23-10b3-4db6-adf4-b396c06e8d6d"	"J. Latius"
"fda04896-a0bc-499f-abcc-1f2aa595d21f"	"P.J. Lemmens"
"cf1adb15-2f22-4b82-880d-5407dc61ca54"	"Haeredibus Ioannis Hertsroy"
"4df3b9e4-abfc-4f2d-b06c-f1222f3656b1"	"Hendrik van der Loe"
"f1fb1f74-78eb-4c25-b03b-b52bf67b28fa"	"Wed. Manilius"
"b14a19a6-081e-4f4d-9cc8-3361fd4f9fb9"	"Bauduijn Manilius"
"640c5b7b-497d-4d43-a660-cbb9b5aaf7f9"	"Gualterus Manilius"
"ee02c112-0d8d-4478-aaea-35df8998640b"	"Lucas van Meerbeeck"
"ee02c112-0d8d-4478-aaea-35df8998640b"	"Luc de Meerbeque"
"e5463faf-8b58-497e-b408-3d3325fe0cb8"	"Marius"
"df47311e-6096-469a-b2dc-e1f203184d37"	"Jean de Meurs"
"df47311e-6096-469a-b2dc-e1f203184d37"	"J. Meursius"
"8b9faed2-82bf-4c00-9eac-c08ac66ac72f"	"J. van Mullem"
"0faf637f-8eac-4424-982d-0ed1e7266466"	"Lenaerdt Ophoven"
"10a827f4-b901-424b-b1b4-787df094193b"	"P. van Ouwen"
"ab1cde40-ef6b-4b09-8a63-3bae496dff48"	"J. Pepermans"
"907e7aab-db9d-490b-b3b8-0c8e907366db"	"Gaspar du Pree"
"6d4f6949-de89-4e75-9a3e-eef6ae847125"	"Wed. Jacob de Rave"
"c9e21caa-a33e-4562-a533-41ac16a7ec25"	"Hendrick Saetreuver"
"8c2092f1-5709-45ad-907e-4a218f609eb4"	"Petrus Sanctandreus"
"8c2092f1-5709-45ad-907e-4a218f609eb4"	"Petrus Santandreus"
"b0d59403-e056-43b6-a194-f11dd16c1d09"	"Joannes Scoeffer"
"1e549a10-8ef8-4759-b5b0-ba0eff7bcdc1"	"Joannes Steels"
"7b1cfc92-1b5f-4dd0-8041-09899de652fc"	"Wed. en erfgenamen Hendrick Thieullier"
"7b1cfc92-1b5f-4dd0-8041-09899de652fc"	"Wed. Henri Thieullier en erfgenamen"
"7b1cfc92-1b5f-4dd0-8041-09899de652fc"	"Vidua Henrici Thieullier"
"7b1cfc92-1b5f-4dd0-8041-09899de652fc"	"Wed. en erven Hendrick Thieullier"
"40925968-4d0a-4152-8a8d-61b81841d8b3"	"Wed. Hubert Antonius Velpius"
"d041e83e-6471-4ccf-8d48-7e9f1629536d"	"Rutger Velpius"
"ffc70e08-6a3c-4270-9321-1f5edd3c57b3"	"Chr. Wechelus"
"2216b724-b6f2-49f2-9d8a-5f6bcc53c594"	"Wed. Weins"
"313928f9-005c-47ad-845e-75b6d8b10e04"	"Jan Weins"
"b5bde6ee-9376-47ca-98a5-1838aed494ff"	"Wolschatius"
