id	name	widow_heirs	first_name	patronym	prefix	addition	surname	cerl_link
"e00a6143-9929-474e-9630-d9ba51e172d5"	"Hendrick Aertssens"		"Hendrick"				"Aertssens"	
"32f4d011-6180-4c62-91b6-1fad30179516"	"Huybrecht Anthoon Velpius (II)"		"Huybrecht"			"(II)"	"Anthoon Velpius"	"https://data.cerl.org/thesaurus/cni00035639"
"7c7c627b-1c6d-4d19-ac0b-5b5bd519bbec"	"Hubertus Antonius Velpius (I)"		"Hubertus Antonius"			"(I)"	"Velpius"	"https://data.cerl.org/thesaurus/cni00096447"
"01309baa-ae89-4a90-a278-a29f137d4218"	"J. de Ayala"		"J."		"de"		"Ayala"	
"f19196c2-2316-4858-87e2-6be5155d47dd"	"Antheunes de Backer"		"Antheunes"		"de"		"Backer"	
"d836e960-0959-4f5a-9857-b96a01327a27"	"George de Backer"		"George"		"de"		"Backer"	
"a02d2742-b5a9-4db2-913a-e681bb790ca5"	"Thomas Basson"		"Thomas"				"Basson"	
"f387da7b-8f1c-4e37-9d12-c194ae039dcb"	"Jacobus Beernaerts"		"Jacobus"				"Beernaerts"	
"8bf7ab05-04b3-4483-8ca9-3b6261f854f5"	"Joannes Beernaerts"		"Joannes"				"Beernaerts"	
"15cee51c-5614-4c1c-9ed4-c2bce4305fb1"	"François Bellet"		"François"				"Bellet"	
"300d587a-8354-462c-b69b-dadde0b590fa"	"Jan Bellet"		"Jan"				"Bellet"	
"8840c997-0d5d-4fca-a74d-a5737aeb9e27"	"Joannes Caspar Bencard"		"Joannes Caspar"				"Bencard"	"https://data.cerl.org/thesaurus/cni00074223"
"8c92664d-1fca-43ed-8933-a74074a2aac6"	"Arnoldus Benier"		"Arnoldus"				"Benier"	
"1449e13c-9dd4-48a7-bd7d-b1cae96a702f"	"A. Bergagne"		"A."				"Bergagne"	
"f32e9417-18d0-45b0-9316-921744d9fb84"	"Pieter van den Berge (I)"		"Pieter"		"van den"	"(I)"	"Berge"	
"4ab4418b-ef85-46de-9970-d46737211f26"	"Wed. Zegher van den Berghe"	"Widow"	"Zegher"		"van den"		"Berghe"	
"c419ba3c-839f-41bb-b78f-1b6a39242619"	"Zegher van den Berghe"		"Zegher"		"van den"		"Berghe"	
"786256dc-1828-4fbe-94ae-cc08a98aaa6f"	"J. van den Berghen"		"J."		"van den"		"Berghen"	
"ee667e3b-0205-46d3-af5f-8e4e0ed7e6fb"	"Willem Jansz Blaeu"		"Willem"	"Jansz"			"Blaeu"	
"1c7522e9-935e-404f-9d15-f1c0c5434621"	"Jan Bogart (I)"		"Jan"			"(I)"	"Bogart"	"https://data.cerl.org/thesaurus/cni00103446"
"0666c83e-3cd3-4e19-b998-67c83e89eaed"	"Jean Bogart (II)"		"Jean"			"(II)"	"Bogart"	"https://data.cerl.org/thesaurus/cni00103447"
